Loại giao dịch,Thành phố,Quận/huyện,Loại hình đất,Mức giá,Diện tích,Số phòng ngủ,"Số phòng tắm, vệ sinh",Số tầng,Hướng nhà,Hướng ban công,Mặt tiền,Đường vào,Pháp lý,Nội thất,Ngày đăng,crawl_date,Giá,Đơn vị(Mức giá)
Bán,Hà Nội,Đan Phượng,Nhà biệt thự,Thỏa thuận,96.0,,,,,,8.0,,,,2025-06-05,2025-12-30,,
Bán,Hồ Chí Minh,Quận 9,Căn hộ chung cư,"2,52 tỷ",32.5,1.0,1,,Tây - Bắc,Đông - Nam,,,Hợp đồng mua bán,Cơ bản,2025-06-05,2025-12-30,2.52,tỷ
Bán,Hồ Chí Minh,Quận 9,Căn hộ chung cư,"2,71 tỷ",59.0,2.0,2,,,,,,Hợp đồng mua bán,,2025-06-05,2025-12-30,2.71,tỷ
Bán,Hồ Chí Minh,Quận 12,Bán đất,"12,5 tỷ",300.0,,,,,,8.0,8.0,Sổ đỏ/ Sổ hồng,,2025-06-05,2025-12-30,12.5,tỷ
Bán,Hà Nội,Gia Lâm,Căn hộ chung cư,"2,7 tỷ",59.0,2.0,1,,,,,,Sổ đỏ/ Sổ hồng.,,2025-06-05,2025-12-30,2.7,tỷ
Bán,Hà Nội,Nam Từ Liêm,Căn hộ chung cư,"11,35 tỷ",129.0,4.0,3,,Tây - Nam,Đông - Bắc,,,Sổ đỏ/ Sổ hồng,Đầy đủ,2025-06-05,2025-12-30,11.35,tỷ
Cho thuê,Hồ Chí Minh,Thủ Đức,Căn hộ chung cư,11 triệu/tháng,84.0,2.0,2,,Đông - Nam,Tây - Nam,,,,Cơ bản,2025-06-05,2025-12-30,11.0,triệu/tháng
Cho thuê,Hồ Chí Minh,Quận 2,Căn hộ chung cư,16 triệu/tháng,75.0,2.0,2,,,,,,,Đầy đủ,2025-06-05,2025-12-30,16.0,triệu/tháng
Cho thuê,Hà Nội,Tây Hồ,Căn hộ chung cư,28 triệu/tháng,160.0,,,,,,,,,Cơ bản,2025-06-05,2025-12-30,28.0,triệu/tháng
Bán,Hà Nội,Tây Hồ,Nhà mặt phố,77 tỷ,115.0,20.0,9,9,,,9.0,50.0,Sổ đỏ/ Sổ hồng,,2025-06-05,2025-12-30,77.0,tỷ
Bán,Hà Nội,Cầu Giấy,Nhà riêng,"23,3 tỷ",62.0,4.0,5,5,,,,6.0,Sổ đỏ/ Sổ hồng,Đầy đủ,2025-06-05,2025-12-30,23.3,tỷ
Bán,Hà Nội,Thanh Xuân,"Chung cư mini, căn hộ",11 tỷ,50.0,10.0,10,,,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,2025-06-05,2025-12-30,11.0,tỷ
Bán,Hà Nội,Thanh Xuân,Căn hộ chung cư,"6,3 tỷ",64.0,2.0,2,,Tây - Bắc,Tây - Bắc,,,Sổ đỏ/ Sổ hồng,Đầy đủ,2025-06-05,2025-12-30,6.3,tỷ
Bán,Hà Nội,Nam Từ Liêm,Căn hộ chung cư,"8,3 tỷ",92.0,3.0,2,,,Đông - Nam,,,Sổ đỏ/ Sổ hồng,Đầy đủ,2025-06-05,2025-12-30,8.3,tỷ
Bán,Hà Nội,Đông Anh,Nhà biệt thự,"17,8 tỷ",63.0,5.0,5,5,,,,,Sổ đỏ/ Sổ hồng,Không nội thất,2025-06-05,2025-12-30,17.8,tỷ
Cho thuê,Hà Nội,Tây Hồ,Căn hộ chung cư,18 triệu/tháng,72.0,,,,,,,,,Đầy đủ,2025-06-05,2025-12-30,18.0,triệu/tháng
Cho thuê,Hồ Chí Minh,Quận 9,Căn hộ chung cư,"5,5 triệu/tháng",70.0,2.0,2,,,,,,,Trống,2025-06-05,2025-12-30,5.5,triệu/tháng
Cho thuê,Hồ Chí Minh,Thủ Đức,Căn hộ chung cư,Thỏa thuận,80.0,2.0,2,,,,,,,"Full nội thất: Máy lạnh, tủ lạnh, máy giặt, bếp, rèm, sofa.",2025-06-05,2025-12-30,,
Bán,Hà Nội,Đông Anh,Căn hộ chung cư,"4,15 tỷ",82.1,3.0,2,,Tây - Bắc,Đông - Nam,,,Sổ đỏ/ Sổ hồng,Cơ bản,2025-06-05,2025-12-30,4.15,tỷ
Bán,Hà Nam,Phủ Lý,Nhà biệt thự,"5,2 tỷ",60.0,5.0,4,5,,,4.0,,Sổ đỏ/ Sổ hồng,,2025-06-05,2025-12-30,5.2,tỷ
Bán,Quảng Ninh,Hạ Long,Condotel,Thỏa thuận,35.98,1.0,1,,,Nam,,,,Full nội thất cơ bản,2025-06-05,2025-12-30,,
Bán,Hồ Chí Minh,Quận 2,Căn hộ chung cư,7 tỷ,86.0,3.0,2,,,,,,HĐMB,Đầy đủ,2025-06-05,2025-12-30,7.0,tỷ
Bán,Hà Nội,Nam Từ Liêm,Căn hộ chung cư,"3,4 tỷ",45.0,1.0,1,,Tây - Bắc,Đông - Bắc,,,Hợp đồng mua bán,Cơ bản,2025-06-05,2025-12-30,3.4,tỷ
Bán,Hồ Chí Minh,Quận 1,Nhà riêng,"16,5 tỷ",64.5,2.0,2,1,Đông - Nam,,4.0,6.0,Sổ đỏ/ Sổ hồng,Đầy đủ,2025-06-05,2025-12-30,16.5,tỷ
Bán,Đà Nẵng,Sơn Trà,Căn hộ chung cư,"3,4 tỷ",63.6,2.0,2,,,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,2025-06-05,2025-12-30,3.4,tỷ
Bán,Hà Nội,Nam Từ Liêm,Căn hộ chung cư,"1,75 tỷ",32.0,1.0,1,,Đông - Nam,,,,Sổ đỏ/sổ hồng.,Nội thất cơ bản CĐT.,2025-06-05,2025-12-30,1.75,tỷ
Bán,Hồ Chí Minh,Quận 9,Căn hộ chung cư,"3,1 tỷ",70.0,2.0,2,,Nam,Đông - Bắc,,,Hợp đồng mua bán,Đầy đủ.,2025-06-05,2025-12-30,3.1,tỷ
Bán,Đà Nẵng,Sơn Trà,Shophouse,"17,6 tỷ",108.0,4.0,5,3,Đông,Đông,6.0,,Sổ đỏ/ Sổ hồng,Không nội thất,2025-06-05,2025-12-30,17.6,tỷ
Bán,Hà Nội,Nam Từ Liêm,Căn hộ chung cư,"3,83 tỷ",64.0,2.0,2,,Đông - Nam,Đông - Nam,,,Sổ đỏ/ Sổ hồng,Đầy đủ,2025-06-05,2025-12-30,3.83,tỷ
Bán,Hồ Chí Minh,Quận 9,Căn hộ chung cư,"4,38 tỷ",74.0,2.0,,,,,,,Hợp đồng mua bán.,,2025-06-05,2025-12-30,4.38,tỷ
Bán,Đà Nẵng,Hải Châu,Căn hộ chung cư,Thỏa thuận,68.0,2.0,2,,Đông - Nam,,,,Hợp đồng mua bán,Đầy đủ,2025-06-05,2025-12-30,,
Bán,Hà Nội,Đan Phượng,Nhà biệt thự,Thỏa thuận,96.0,5.0,4,4,Đông - Nam,Đông - Nam,8.0,13.0,Hợp đồng mua bán,,2025-06-05,2025-12-30,,
Bán,Hồ Chí Minh,Bình Thạnh,Nhà mặt phố,"13,9 tỷ",65.0,5.0,3,4,,,4.0,,Sổ đỏ/ Sổ hồng,,2025-06-05,2025-12-30,13.9,tỷ
Bán,Hồ Chí Minh,Tân Bình,Nhà mặt phố,"13,6 tỷ",76.0,8.0,7,5,Tây - Nam,,,8.0,Sổ đỏ/ Sổ hồng,Cơ bản,2025-06-05,2025-12-30,13.6,tỷ
